,name,host_id,host_name,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities_ct,days_as_host,bathrooms,hrr
5808,*DISCOUNT*Cozy Studio near Skytree/Sensoji *II-402,229627088,宅東zaito,Non-Superhost,46.0,35.70698,139.81525,Entire condominium,Entire home/apt,2,1.0,2.0,1995.0,1,1125,169,18,4.67,4.61,4.67,4.89,4.78,4.72,4.67,0.97,26,956,1.0,1.0
5809,*DISCOUNT*Cozy Studio near Skytree/Sensoji *II-403,229627088,宅東zaito,Non-Superhost,46.0,35.70461,139.8146,Entire condominium,Entire home/apt,2,1.0,2.0,3216.0,1,1125,160,12,4.75,4.92,4.92,5.0,5.0,4.92,4.92,0.67,24,956,1.0,1.0
5810,*DISCOUNT* Comfy Japanese Style Apartment *II-404,229627088,宅東zaito,Non-Superhost,46.0,35.70668,139.81582,Entire condominium,Entire home/apt,4,1.0,0.0,3298.0,1,1125,161,10,4.5,4.9,4.5,5.0,4.8,4.8,4.9,0.5,27,956,2.0,1.0
5814,竹乃宿【桔子】一棟貸し 東京 浅草 床暖房完備 地暖 全室榻榻米 ASAKUSA TOKYO,265089516,Airi,Superhost,12.0,35.7185,139.7907,Entire house,Entire home/apt,5,2.0,0.0,25000.0,2,1125,89,1,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.05,18,782,1.0,1.0
5815,竹乃宿【柘榴】 一棟貸し 東京 浅草 床暖房完備 全室畳和室 ASAKUSA TOKYO,265089516,Airi,Superhost,12.0,35.71701,139.78932,Entire house,Entire home/apt,6,2.0,0.0,25000.0,2,1125,78,2,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.09,17,782,1.0,1.0
5816,👬学生&👨‍👩‍👧‍👧ファミリー歓迎🎉節度あるパーティー👍一軒家貸切🏡 光WiFi📡錦糸町👍アクセス良🚃,206528765,Toshi & Wakana,Superhost,3.0,35.69181,139.81693,Entire house,Entire home/apt,10,3.0,6.0,7100.0,1,1125,35,123,4.92,4.94,4.74,4.95,4.95,4.72,4.85,5.68,21,1085,1.0,1.0
5817,车站3分钟独立房间独立新宿浴室,245093519,華,Non-Superhost,11.0,35.72204,139.65188,Entire apartment,Entire home/apt,2,1.0,2.0,5000.0,7,1125,180,10,4.3,4.6,4.3,4.7,4.7,4.6,4.5,0.53,29,877,1.0,0.0
5819,SHINJUKU/SHIBUYA! HATAGAYA 6MN! 3LDK 100㎡!!,290270909,Plays,Non-Superhost,7.0,35.68064,139.67998,Entire house,Entire home/apt,10,3.0,2.0,13800.0,2,365,31,21,3.9,4.05,4.52,4.57,4.14,4.43,4.38,0.99,23,690,1.5,1.0
5820,WASEDA STN 5MIN! 10PPL! 3LDK 103㎡!!!,290270909,Plays,Non-Superhost,7.0,35.70911,139.71538,Entire house,Entire home/apt,10,4.0,2.0,18000.0,2,365,123,17,4.65,4.82,4.94,4.94,4.82,4.47,4.59,0.8,20,690,1.5,1.0
5823,★Cozy room★8 min from station /MAX6 p,197190511,Hiroyuki,Superhost,15.0,35.7163,139.78726,Entire apartment,Entire home/apt,6,2.0,4.0,12571.0,1,1125,39,14,4.71,4.86,5.0,4.86,4.93,4.93,4.64,0.64,25,1124,1.0,1.0
5824,ﾌﾙﾘﾌｫｰﾑ済★貸し切り戸建て☆根津駅より徒歩5分★ｾﾙﾌﾁｪｯｸｲﾝ可●学生不可,296017273,Toshiko,Superhost,0.0,35.71519,139.76772,Entire house,Entire home/apt,4,2.0,3.0,7700.0,1,1125,61,18,4.94,4.94,4.89,4.89,4.89,4.89,4.83,1.92,24,671,1.0,1.0
5826,★Free WiFi★　2-bed for 3 people#904,48474638,中川,Non-Superhost,51.0,35.67313,139.77579,Entire apartment,Entire home/apt,3,1.0,2.0,1000000.0,1,365,129,3,4.67,3.67,5.0,3.67,5.0,5.0,3.67,0.14,14,2081,1.0,1.0
5827,"Good forWorkHome, andLongterm stay! freeWiFi",291246694,Smile Inn Tokyo,Non-Superhost,0.0,35.74717,139.80827,Entire apartment,Entire home/apt,4,1.0,2.0,7985.0,2,365,329,14,4.71,4.64,4.71,4.79,5.0,4.71,4.79,0.79,24,686,1.0,1.0
5828,Takamatsu 201 / 1 stop from Ikebukuro Station,128821251,Akira,Non-Superhost,32.0,35.73939,139.70198,Private room in apartment,Private room,3,1.0,2.0,3720.0,1,90,0,12,5.0,5.0,5.0,5.0,5.0,4.58,5.0,0.55,36,1538,1.0,1.0
5830,Takamatsu 202 / 1 stop from Ikebukuro Station,128821251,Akira,Non-Superhost,32.0,35.73965,139.70003,Private room in apartment,Private room,3,1.0,2.0,4135.0,1,90,0,11,5.0,5.0,4.91,5.0,5.0,5.0,5.0,0.51,34,1538,1.0,1.0
5831,Takamatsu 203 / 1 stop from Ikebukuro Station,128821251,Akira,Non-Superhost,32.0,35.73767,139.70175,Private room in apartment,Private room,3,1.0,2.0,4135.0,1,90,72,6,4.83,4.83,4.67,5.0,4.67,4.33,4.5,0.28,35,1538,1.0,1.0
5833,Takamatsu 302 / 1 stop from Ikebukuro Station,128821251,Akira,Non-Superhost,32.0,35.73936,139.70184,Private room in apartment,Private room,3,1.0,1.0,3720.0,1,90,72,8,5.0,4.75,5.0,4.5,4.63,4.5,4.88,0.37,35,1538,1.0,1.0
5834,Takamatsu 303 / 1 stop from Ikebukuro Station,128821251,Akira,Non-Superhost,32.0,35.73797,139.70192,Private room in apartment,Private room,3,1.0,1.0,4135.0,1,90,66,8,5.0,4.88,4.88,4.88,5.0,3.88,5.0,0.37,33,1538,1.0,1.0
5835,Takamatsu 304 / 1 stop from Ikebukuro Station,128821251,Akira,Non-Superhost,32.0,35.73982,139.70024,Private room in apartment,Private room,2,1.0,2.0,4135.0,1,90,72,15,4.93,4.93,4.87,5.0,4.87,4.53,4.93,0.69,34,1538,1.0,1.0
5836,日暮里パーティーハウス《大画面でオリンピックを楽しみませんか？》【カラオケ、PS４他、３０名以上可】,264861612,勝哉,Non-Superhost,1.0,35.72922,139.7729,Entire apartment,Entire home/apt,16,3.0,6.0,25714.0,1,365,154,98,4.72,4.76,4.51,4.7,4.9,4.86,4.64,4.78,27,783,2.0,1.0
5837,"★2 WEEKS 10%, 4 WEEKS 20% OFF★2BR / 54.34 ㎡",296207806,Jan,Non-Superhost,1.0,35.57497,139.72952,Entire house,Entire home/apt,4,2.0,3.0,25714.0,2,365,180,35,4.66,4.89,4.57,4.94,4.94,4.66,4.91,1.65,27,671,1.0,1.0
5838,Photogenic room with Traditional Ukiyo-e motifs,296234165,Ukiyo,Non-Superhost,1.0,35.74742,139.85396,Entire house,Entire home/apt,9,1.0,5.0,35714.0,1,90,52,12,4.33,4.17,4.33,4.17,4.5,4.0,3.75,0.61,23,670,1.5,1.0
5839,Open Concept apt in Yotsuya/ 5 min from Shinjuku,141644725,Minato,Non-Superhost,3.0,35.68568,139.72895,Entire apartment,Entire home/apt,5,1.0,3.0,38545.0,1,90,81,17,4.88,4.94,4.76,4.76,5.0,4.94,4.47,1.46,24,1460,1.0,1.0
5840,Close to shibuya☆1LDK☆Designers room #3B,237314820,Samurai,Non-Superhost,9.0,35.66398,139.69507,Entire apartment,Entire home/apt,4,1.0,2.0,23625.0,1,7,52,28,4.89,4.79,4.86,4.71,4.86,4.86,4.71,1.32,24,915,1.0,1.0
5842,【Delighted Apt】SHINJUKU/FREE WIFI&Perfect Location,150399218,Sweety,Non-Superhost,5.0,35.69926,139.70772,Entire apartment,Entire home/apt,4,1.0,2.0,5275.0,1,1125,172,64,4.46,4.57,4.41,4.62,4.65,4.73,4.56,3.0,22,1406,1.5,1.0
5843,"[2R]near to Shinjuku,Shibuya,Ueno etc,self check",193171483,Liyan,Non-Superhost,13.0,35.73842,139.74887,Private room in condominium,Private room,1,1.0,1.0,35486.0,1,1125,365,22,4.68,4.73,4.82,4.91,4.68,4.91,4.77,1.0,23,1143,1.0,1.0
5844,"[2L]near to Shinjuku,Shibuya,Ueno etc,selfcheckIn",193171483,Liyan,Non-Superhost,13.0,35.7383,139.74842,Private room in condominium,Private room,2,1.0,1.0,35464.0,1,1125,365,15,4.67,4.93,4.4,4.73,4.87,4.93,4.8,0.68,23,1143,1.0,1.0
5845,Free WIFI OK! ShinjukuGyoen 5 mins walk from apt!,273872283,Luna,Superhost,2.0,35.68933,139.71428,Entire apartment,Entire home/apt,8,2.0,5.0,10746.0,30,1125,1,35,4.91,4.97,4.91,4.97,5.0,4.83,4.97,1.88,39,746,1.0,1.0
5846,KL677(1) Close to Shinjuku Station 新宿駅至近,296293225,L617&324,Superhost,0.0,35.6968,139.7072,Entire apartment,Entire home/apt,3,1.0,2.0,4900.0,2,90,158,35,4.8,4.83,4.77,4.89,4.97,4.83,4.66,1.65,31,670,1.0,1.0
5847,"Haneda Apt 10min! Shinagawa, Yokohama, Max8",262905899,Smile Inn,Non-Superhost,2.0,35.55469,139.72604,Entire house,Entire home/apt,8,2.0,4.0,27429.0,2,365,161,8,4.13,4.5,4.25,4.5,4.88,4.38,4.5,0.39,22,792,1.0,1.0
5848,Nippori/Ueno One Train! Entire Japanese House Max8,262905899,Smile Inn,Non-Superhost,2.0,35.74696,139.82492,Entire house,Entire home/apt,8,2.0,4.0,7429.0,1,365,177,7,4.57,4.71,4.43,4.29,4.71,4.43,4.86,0.34,22,792,1.0,1.0
5849,★Sale★Ueno/Ginza/Tokyo sta./Asakusa/Airport※2ppl,29966538,Ostay-Jennie,Superhost,129.0,35.70983,139.77823,Entire apartment,Entire home/apt,2,1.0,1.0,9543.0,1,1125,355,10,4.9,4.9,4.9,4.8,5.0,5.0,4.9,0.78,25,2309,1.5,0.98
5850,Modern interior   5min walk to Sensoji,296451336,Tomohito,Superhost,1.0,35.71648,139.79616,Entire house,Entire home/apt,3,1.0,3.0,11000.0,2,30,89,32,4.94,4.97,4.97,5.0,5.0,4.72,4.81,1.61,30,669,1.0,1.0
5861,Renovated room in Shibuya☆1LDK #2B,237314820,Samurai,Non-Superhost,9.0,35.66256,139.69449,Entire apartment,Entire home/apt,5,1.0,4.0,15450.0,1,7,70,53,4.62,4.74,4.66,4.64,4.75,4.79,4.53,2.71,22,915,1.0,1.0
5862,Stylish & Calm room in Shibuya★1K #2A,237314820,Samurai,Non-Superhost,9.0,35.66176,139.69656,Entire apartment,Entire home/apt,3,1.0,2.0,12352.0,1,7,69,37,4.73,4.78,4.7,4.65,4.78,4.81,4.59,1.72,22,915,1.0,1.0
5863,Close to shibuya☆1K☆Designers room #3A,237314820,Samurai,Non-Superhost,9.0,35.66214,139.69663,Entire apartment,Entire home/apt,3,1.0,2.0,11637.0,1,7,71,48,4.63,4.79,4.63,4.56,4.65,4.79,4.46,2.29,22,915,1.0,1.0
5864,"New open! 3min walk near sta, UenoPark/ Wifi/#101",16894613,Mieca,Superhost,4.0,35.72046,139.78,Room in hotel,Private room,2,1.0,0.0,6200.0,4,30,88,10,5.0,5.0,4.9,5.0,5.0,5.0,4.9,0.58,26,2590,1.0,1.0
5865,7min Asakusa/8min Ryogoku/12ppl/FREE WIFI&Netflix,93461462,Tusk,Non-Superhost,1.0,35.69621,139.80269,Entire apartment,Entire home/apt,12,1.0,6.0,27172.0,1,1125,41,73,4.66,4.73,4.49,4.64,4.85,4.36,4.6,3.46,27,1780,1.5,1.0
5866,Nakano 2DK HK#33,17228309,Zen,Non-Superhost,45.0,35.69895,139.67276,Entire apartment,Entire home/apt,4,2.0,2.0,8143.0,2,180,36,8,4.88,5.0,5.0,5.0,4.63,4.75,4.88,0.42,24,2582,1.0,1.0
5867,Nakano 2DK HK#34,17228309,Zen,Non-Superhost,45.0,35.69905,139.6725,Entire apartment,Entire home/apt,4,2.0,2.0,12000.0,2,180,0,2,4.0,4.5,4.5,4.5,5.0,5.0,4.5,0.29,21,2582,1.0,1.0
5868,Cozy 2 Bedroom near Shinjuku HK#43,17228309,Zen,Non-Superhost,45.0,35.69714,139.67356,Entire apartment,Entire home/apt,4,2.0,2.0,12000.0,2,180,0,6,4.0,4.17,4.17,4.33,4.33,4.83,4.17,0.32,28,2582,1.0,1.0
5869,Nakano 2DK HK#53,17228309,Zen,Non-Superhost,45.0,35.6988,139.67285,Entire apartment,Entire home/apt,4,2.0,2.0,12000.0,2,180,0,6,4.33,4.67,4.67,4.67,4.67,4.83,4.5,0.34,24,2582,1.0,1.0
5870,"[W3]near to Shinjuku,Shibuya,Ueno etc,self checkIn",193171483,Liyan,Non-Superhost,13.0,35.73866,139.74696,Private room in condominium,Private room,2,1.0,1.0,35529.0,1,1125,365,29,4.66,4.76,4.55,4.97,4.86,5.0,4.9,1.38,23,1143,1.0,1.0
5871,新宿 大久保. 歌舞伎町 503  地铁2分钟Shinjuku- Kabukicho、,296689302,Qingmei,Non-Superhost,2.0,35.69947,139.70467,Entire apartment,Entire home/apt,4,1.0,2.0,8571.0,1,1125,168,12,4.17,4.0,4.25,4.25,4.5,4.58,4.08,0.63,21,668,1.0,0.89
5872,（暁。宿）直达新宿池袋家庭温馨治愈宽敞独栋一户建,296747938,遙仁,Non-Superhost,1.0,35.77954,139.68034,Entire house,Entire home/apt,6,3.0,4.0,9500.0,1,180,168,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.19,17,668,1.0,0.67
5873,A0宿.錦糸町JR 成田線✈️ 機場直達,214640453,Hanako,Non-Superhost,27.0,35.70229,139.8127,Entire apartment,Entire home/apt,4,1.0,1.0,3497.0,2,90,293,8,4.75,4.88,5.0,4.88,5.0,4.88,5.0,0.37,28,1044,1.0,1.0
5876,新宿 大久保徒步5分钟/长租优惠,296689302,Qingmei,Non-Superhost,2.0,35.70038,139.69134,Entire apartment,Entire home/apt,6,2.0,4.0,7000.0,1,1125,180,10,4.2,4.7,4.0,5.0,4.7,4.6,4.3,0.53,23,668,1.5,0.89
5877,Shinjuku★shin-okubo 4mins  2F 新宿-新大久保4分钟,296689302,Qingmei,Non-Superhost,2.0,35.70363,139.70281,Entire apartment,Entire home/apt,5,1.0,2.0,50000.0,1,1125,0,2,4.5,4.0,3.5,4.5,5.0,4.5,5.0,0.1,24,668,1.0,0.89
5878,新宿 大久保 歌舞伎町6,294324106,舞,Non-Superhost,2.0,35.69799,139.70166,Entire apartment,Entire home/apt,6,1.0,3.0,12857.0,2,1125,223,44,4.45,4.45,4.41,4.82,4.43,4.77,4.57,2.2,22,677,1.5,1.0
5879,3 min from Ryogoku Sta.  ＜Sharing room＞④,111369542,黒川,Superhost,20.0,35.69398,139.79186,Shared room in house,Shared room,1,1.0,4.0,5143.0,1,1125,73,9,4.89,4.89,4.67,5.0,4.89,5.0,4.89,0.45,46,1648,3.0,1.0
5880,3 min from Ryogoku Sta.  ＜Sharing room＞⑤,111369542,黒川,Superhost,20.0,35.69425,139.79211,Shared room in house,Shared room,1,1.0,4.0,5143.0,1,1125,73,5,4.8,4.8,5.0,4.8,4.8,4.8,4.8,0.29,46,1648,3.0,1.0
5881,3 min from Ryogoku Sta.  ＜Sharing room＞③,111369542,黒川,Superhost,20.0,35.69557,139.79003,Shared room in house,Shared room,1,1.0,4.0,5143.0,1,1125,73,14,4.79,4.93,4.79,4.86,5.0,5.0,4.86,0.69,46,1648,3.0,1.0
5882,3 min from Ryogoku Sta. ＜Sharing room＞②,111369542,黒川,Superhost,20.0,35.69434,139.79024,Shared room in house,Shared room,1,1.0,4.0,2000.0,1,1125,0,6,5.0,5.0,4.67,5.0,5.0,4.83,5.0,0.33,46,1648,3.0,1.0
5884,"一軒家/Disney直通/14人/駅5分/JR秋葉原,東京駅13分/NRT直通有/WiFi",297339086,Koji,Non-Superhost,0.0,35.71867,139.86353,Entire house,Entire home/apt,14,3.0,5.0,40000.0,2,35,90,8,4.75,4.75,4.75,5.0,5.0,4.88,4.88,0.39,26,666,1.5,1.0
5885,★NEW/Not share room★ Cozy area/near ASAKUSA/MAX6 p,197190511,Hiroyuki,Superhost,15.0,35.71628,139.78725,Entire apartment,Entire home/apt,6,2.0,4.0,77714.0,2,1125,0,14,4.79,4.93,5.0,4.93,5.0,4.79,4.86,0.74,24,1124,1.0,1.0
5887,"MANGA ART HOTEL,TOKYO 漫泊 【FEMALE ONLY FLOOR】1",297354724,Manga Art Hotel,Non-Superhost,2.0,35.6945,139.76567,Room in aparthotel,Hotel room,1,1.0,1.0,17820.0,1,50,364,15,4.67,4.87,5.0,4.93,4.67,4.6,4.73,0.69,12,666,2.0,1.0
5888,"MANGA ART HOTEL,TOKYO 漫泊 【MAN ONLY FLOOR】1",297354724,Manga Art Hotel,Non-Superhost,2.0,35.69487,139.76488,Room in hostel,Hotel room,1,1.0,1.0,17949.0,1,50,364,37,4.81,4.92,4.81,4.92,4.81,4.7,4.73,1.78,12,666,2.0,1.0
5891,赤坂駅徒歩1分+プロジェクター☆デザインステイ赤坂704☆映画館風ホワイト ハウス＋クロムキャスト,297514455,Yuki,Non-Superhost,0.0,35.673,139.73773,Entire apartment,Entire home/apt,5,1.0,2.0,13776.0,1,1125,72,39,4.72,4.51,4.69,4.82,4.85,4.92,4.41,1.88,36,665,1.0,1.0
5892,【RIKI.FLAT 201】20sec to Kimino Nawa Stairs!,60606373,Sho,Superhost,3.0,35.685795,139.723434,Entire condominium,Entire home/apt,4,1.0,2.0,17000.0,1,1125,165,56,4.95,4.95,4.93,4.82,4.91,4.86,4.82,2.64,40,1970,1.0,1.0
5893,Near Ueno/Asakusa#3mins to Skytree#60㎡ cozy room,201500222,Kenta,Non-Superhost,46.0,35.71223,139.81685,Room in boutique hotel,Private room,8,2.0,4.0,20000.0,1,1125,180,12,4.67,4.83,4.58,4.83,4.83,4.92,4.58,0.6,26,1105,1.0,1.0
5894,【RIKI.FLAT 101】20sec to Kimino Nawa Stairs!,60606373,Sho,Superhost,3.0,35.685795,139.723434,Entire condominium,Entire home/apt,3,1.0,1.0,13857.0,1,1125,177,48,4.98,4.98,4.96,4.85,4.96,4.92,4.92,2.32,44,1970,1.0,1.0
5895,【RIKI.FLAT 102】20sec to Kimino Nawa Stairs!,60606373,Sho,Superhost,3.0,35.685795,139.723434,Entire condominium,Entire home/apt,2,1.0,1.0,13857.0,1,1125,175,36,4.92,4.97,5.0,4.89,4.86,4.94,4.83,1.65,37,1970,1.0,1.0
5896,【RIKI.FLAT 301】20sec to Kimino Nawa Stairs!,60606373,Sho,Superhost,3.0,35.685795,139.723434,Entire condominium,Entire home/apt,2,1.0,1.0,8600.0,1,1125,149,29,4.93,4.93,4.93,4.69,5.0,4.86,4.83,1.35,35,1970,1.0,1.0
5897,SEREGA#102 Akigawa0.1/Yokota3.1mi 2ppl suburbTokyo,38919757,Max Masaking,Non-Superhost,8.0,35.72865,139.28571,Entire apartment,Entire home/apt,2,1.0,2.0,3986.0,1,1125,107,21,4.71,4.9,4.43,5.0,4.95,4.9,4.81,0.96,27,2193,1.0,1.0
5898,"Tokyo sky tower hotel / Max18P / HND,NRT Direct",204921681,Tei,Superhost,7.0,35.71058,139.81348,Room in aparthotel,Private room,16,2.0,14.0,84857.0,2,50,166,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.28,46,1091,4.0,1.0
5901,#102★3min to the nearest station♪Ikebukuro 13 min,296961205,Nakahara,Superhost,2.0,35.74926,139.70853,Entire apartment,Entire home/apt,3,1.0,2.0,4290.0,1,365,110,20,4.8,4.75,4.8,4.95,5.0,4.7,4.85,0.97,25,667,1.0,1.0
5902,ヒルズ駒込2F · 8min to Sta.Near Ueno/Akihabara,236443900,Ayako,Non-Superhost,1.0,35.73512,139.75499,Entire apartment,Entire home/apt,6,1.0,3.0,10129.0,2,1125,318,24,4.79,4.71,4.67,4.75,4.83,4.46,4.75,1.12,27,918,1.0,1.0
5903,Shinjuku 2 minutes  -Okubo 直达新宿2分钟 大久保301,294322772,鈴木,Non-Superhost,0.0,35.69991,139.6931,Entire apartment,Entire home/apt,6,2.0,3.0,113714.0,1,1125,166,4,4.67,5.0,4.67,5.0,5.0,4.67,4.67,0.22,24,677,1.5,0.0
5904,Shinjuku 2 minutes 東新宿3F 05,294322772,鈴木,Non-Superhost,0.0,35.70108,139.70701,Entire apartment,Entire home/apt,3,1.0,1.0,65714.0,1,1125,180,4,4.75,4.75,4.5,5.0,5.0,4.5,4.0,0.2,21,677,1.0,0.0
5905,Little Forest  新房源  上野/浅草/秋叶原/新宿  浅草天空树步行圈  独享整个房源,234477095,Vivian,Non-Superhost,13.0,35.71954,139.7884,Shared room in apartment,Shared room,3,1.0,1.0,12000.0,1,1125,90,11,4.36,4.64,4.18,4.73,4.45,4.64,4.64,0.51,18,927,1.5,1.0
5906,2min JR Komagome|Yamanote Line|Max4|WIFI|Hoshi301,68939316,Scott,Non-Superhost,11.0,35.73834,139.75107,Entire apartment,Entire home/apt,4,1.0,0.0,8043.0,2,1125,363,3,5.0,5.0,5.0,5.0,4.67,5.0,4.33,0.17,23,1912,1.0,1.0
5907,2min JR Komagome|Yamanote Line|Max4|WIFI|Hoshi302,68939316,Scott,Non-Superhost,11.0,35.73825,139.75162,Private room in apartment,Private room,4,1.0,2.0,4786.0,2,1125,365,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.26,20,1912,1.0,1.0
5909,2min JR Komagome|Yamanote Line|Max4|WIFI|Hoshi401,68939316,Scott,Non-Superhost,11.0,35.7366,139.75024,Entire apartment,Entire home/apt,4,1.0,2.0,4829.0,2,1125,365,3,4.67,4.67,4.67,4.33,4.33,5.0,5.0,0.15,20,1912,1.0,1.0
5910,2min JR Komagome|Yamanote Line|Max4|WIFI|Hoshi402,68939316,Scott,Non-Superhost,11.0,35.73682,139.75159,Private room in apartment,Private room,4,1.0,2.0,3714.0,2,1125,365,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.05,21,1912,1.0,1.0
5911,2min JR Komagome|Yamanote Line|Max4|WIFI|Hoshi403,68939316,Scott,Non-Superhost,11.0,35.73842,139.75141,Entire apartment,Entire home/apt,4,1.0,2.0,3557.0,2,1125,365,4,4.5,4.25,4.75,4.75,4.5,5.0,4.75,0.19,14,1912,1.0,1.0
5916,Airport access 錦糸町天空樹(押上Oshiage Skytree),214640453,Hanako,Non-Superhost,27.0,35.70326,139.81384,Entire apartment,Entire home/apt,2,1.0,1.0,3593.0,2,90,321,8,5.0,4.88,4.5,5.0,4.75,4.75,4.63,0.38,29,1044,1.0,1.0
5917,NEW⭐︎max2⭐︎MeguroRiver⭐︎Harajuku/Shibuya/Ebisu⭐︎,298230439,Makoto,Non-Superhost,3.0,35.63138,139.71045,Entire apartment,Entire home/apt,2,1.0,1.0,7820.0,1,30,9,29,4.48,4.45,4.48,4.93,4.93,4.72,4.62,1.43,22,662,1.0,1.0
5918,Shinjyuku ikebukuro walk3-min viall internet,226398756,Xiaokai,Non-Superhost,2.0,35.73854,139.71415,Entire house,Entire home/apt,11,3.0,5.0,21571.0,1,1125,179,40,4.83,4.7,4.73,4.9,4.98,4.65,4.53,1.85,28,975,1.5,1.0
5919,1min sta! 2 stories house/Direct to Shinjuku/2 BDR,183877565,UI Home Company,Non-Superhost,33.0,35.72461,139.62201,Entire house,Entire home/apt,14,2.0,7.0,18000.0,1,1125,180,3,4.67,4.0,5.0,5.0,5.0,4.67,5.0,0.37,27,1195,1.0,1.0
5920,★Free WiFi★　2-bed for 3 people#904,71735650,Kyo,Non-Superhost,54.0,35.67171,139.77444,Entire apartment,Entire home/apt,3,1.0,2.0,1000000.0,1,365,129,3,5.0,5.0,4.67,5.0,5.0,5.0,4.67,0.15,18,1895,1.0,0.91
5921,★Free WiFi★　2-bed for 3 people#804,71735650,Kyo,Non-Superhost,54.0,35.67113,139.77435,Entire apartment,Entire home/apt,3,1.0,2.0,1000000.0,1,365,129,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.05,17,1895,1.0,0.91
5922,★Free WiFi★　2-bed for 3 people#704,71735650,Kyo,Non-Superhost,54.0,35.67165,139.77624,Entire apartment,Entire home/apt,3,1.0,2.0,1000000.0,1,365,129,5,4.8,4.8,5.0,5.0,4.8,4.8,4.8,0.23,18,1895,1.0,0.91
5924,Near Shibakoen&Tokyo tower☆Maisonette type,298267413,隆史,Non-Superhost,2.0,35.65146,139.74661,Entire apartment,Entire home/apt,7,1.0,4.0,65863.0,1,365,359,108,4.73,4.82,4.63,4.74,4.84,4.8,4.4,5.47,30,662,1.0,1.0
5925,新宿/楼下商业街/卫生间2个/无线Wi-Fi/复合式日式两层公寓Whitehouse5、6楼,106338787,Myunghee,Superhost,7.0,35.70204,139.70467,Entire apartment,Entire home/apt,8,2.0,6.0,108000.0,2,1125,365,5,4.8,5.0,4.6,4.8,4.8,4.8,4.8,0.24,29,1687,1.5,1.0
5927,JR新宿站/大久保/歌舞伎町1F 2bedrooms,231273877,青梅,Non-Superhost,36.0,35.69958,139.70321,Entire apartment,Entire home/apt,5,2.0,2.0,10643.0,2,1125,270,3,4.33,4.0,5.0,5.0,5.0,4.67,4.67,0.14,14,945,2.0,1.0
5928,JR新宿站/大久保/歌舞伎町 2F 2bedrooms,231273877,青梅,Non-Superhost,36.0,35.6981,139.70348,Entire apartment,Entire home/apt,6,2.0,0.0,10643.0,2,1125,267,6,5.0,4.83,4.83,5.0,5.0,5.0,5.0,0.28,20,945,2.0,1.0
5929,Luxurious&StylishStayInCenterOf Ginza#24Hr Support,26107414,Bruce,Non-Superhost,24.0,35.66981,139.76676,Entire apartment,Entire home/apt,4,1.0,2.0,31143.0,1,1125,174,15,4.93,4.93,5.0,4.8,4.6,4.87,4.47,0.75,27,2379,1.0,1.0
5930,#203★3min to the nearest station♪Ikebukuro 13 min,296961205,Nakahara,Superhost,2.0,35.74787,139.70919,Entire apartment,Entire home/apt,3,1.0,0.0,4290.0,1,365,110,13,4.38,4.85,4.54,5.0,4.85,4.46,4.46,0.71,24,667,1.0,1.0
5931,87㎡/936 sqf  Japanese modern condo  for 6 guests,298882669,Akiko,Superhost,1.0,35.64485,139.67018,Entire condominium,Entire home/apt,6,2.0,6.0,79571.0,1,100,159,36,4.97,4.94,5.0,4.75,4.89,4.89,4.61,1.69,44,660,2.0,1.0
5932,Oshiage Ciel Lodge /Private house/3 min Oshiage,298871352,Satoshi,Superhost,1.0,35.70713,139.81635,Entire house,Entire home/apt,5,2.0,3.0,3486.0,2,30,53,22,4.86,4.91,4.91,4.95,5.0,4.91,4.82,1.13,31,660,1.0,0.9
5933,7min walk to station/4pax/Pockt-WiFi/Shinjuku area,240574838,Mari,Superhost,1.0,35.69927,139.69377,Entire apartment,Entire home/apt,4,1.0,2.0,8329.0,1,60,73,13,4.69,4.77,4.54,4.77,4.85,4.92,4.62,0.61,28,899,1.0,1.0
5934,Ichiyu Tokyo#G1 New!1min to Ueno via MTR★Free Wifi,292115979,一遊,Superhost,0.0,35.72014,139.78813,Entire apartment,Entire home/apt,8,3.0,6.0,18800.0,3,30,0,8,5.0,4.88,5.0,5.0,4.88,4.5,4.88,0.38,29,684,1.0,1.0
5935,池袋駅步行10min高级4层别墅；FREE WIFI；3卧室； 交通便利；可停车；中英日法ok,288253478,坛,Non-Superhost,0.0,35.73585,139.71276,Entire house,Entire home/apt,8,3.0,4.0,28929.0,2,1125,90,3,5.0,4.67,5.0,5.0,5.0,4.67,4.33,0.16,26,698,2.0,1.0
5938,SG HOUSE Tokyo Ota RoomB /Zoshiki station 2minute,283157058,YUMIKO&YASUTAKA(Yas),Non-Superhost,2.0,35.55112,139.71513,Entire apartment,Entire home/apt,4,1.0,4.0,4600.0,2,365,157,18,4.5,4.83,4.44,4.67,4.78,4.83,4.56,0.86,33,714,1.0,1.0
